Název;Cena;URL;Cena_cista;Dispozice;Plocha_m2;Lokalita
Pronájem bytu 3+1 68 m²K. Světlé, Zlín - Prštné;1​8​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-prstne-k-svetle/3373249356;18000.0;3+1;68.0;K. Světlé, Zlín - Prštné
Pronájem bytu 1+1 49 m²Zlín;1​3​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-/1976804172;13500.0;1+1;49.0;Zlín
Pronájem bytu 1+kk 25 m²Zlín;8​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-/180593484;8500.0;1+kk;25.0;Zlín
Pronájem bytu 2+kk 43 m²Žerotínova, Napajedla;9​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/napajedla-napajedla-zerotinova/3131024204;9000.0;2+kk;43.0;Žerotínova, Napajedla
Pronájem bytu 1+kk 30 m²Pasecká, Zlín;1​4​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-pasecka/1258529612;14900.0;1+kk;30.0;Pasecká, Zlín
Pronájem bytu 2+1 56 m²Potoky, Zlín;1​2​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-potoky/1478427212;12000.0;2+1;56.0;Potoky, Zlín
Pronájem bytu 2+kk 55 m²Osvobození, Slavičín;1​3​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/slavicin-slavicin-osvobozeni/755213132;13500.0;2+kk;55.0;Osvobození, Slavičín
Pronájem bytu 2+1 70 m²Svat. Čecha, Zlín - Prštné;9​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-prstne-svat-cecha/202089292;9000.0;2+1;70.0;Svat. Čecha, Zlín - Prštné
Pronájem bytu 1+kk 30 m²Ševcovská, Zlín;1​3​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-sevcovska/1049576012;13000.0;1+kk;30.0;Ševcovská, Zlín
Pronájem bytu 3+1 70 m²Petrůvka;1​0​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/petruvka-petruvka-/2012049996;10000.0;3+1;70.0;Petrůvka
Pronájem bytu 2+1 64 m²Podlesí IV, Zlín;1​3​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-podlesi-iv/1228387148;13000.0;2+1;64.0;Podlesí IV, Zlín
Pronájem bytu 1+kk 26 m²Větrná, Zlín;8​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-vetrna/2431017548;8900.0;1+kk;26.0;Větrná, Zlín
Pronájem bytu 3+1 72 m²2. května, Zlín;1​4​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-2-kvetna/4066616140;14500.0;3+1;72.0;2. května, Zlín
Pronájem bytu 2+1 57 m²Benešovo nábřeží, Zlín;8​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-benesovo-nabrezi/1408017228;8000.0;2+1;57.0;Benešovo nábřeží, Zlín
Pronájem bytu 2+kk 53 m²Voženílkova, Zlín;1​5​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-vozenilkova/3128377932;15000.0;2+kk;53.0;Voženílkova, Zlín
Pronájem bytu 1+kk 22 m²Pančava, Zlín - Příluky;9​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-priluky-pancava/4211225164;9500.0;1+kk;22.0;Pančava, Zlín - Příluky
Pronájem bytu 2+1 60 m²Slunečná, Zlín;1​1​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-slunecna/884826700;11500.0;2+1;60.0;Slunečná, Zlín
Pronájem bytu 3+kk 46 m²Pančava, Zlín - Příluky;1​8​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-priluky-pancava/2810987084;18000.0;3+kk;46.0;Pančava, Zlín - Příluky
Pronájem bytu 3+1 60 m²Vysoká, Zlín;1​8​ ​6​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-vysoka/1976083276;18600.0;3+1;60.0;Vysoká, Zlín
Pronájem bytu 1+kk 33 m²Družstevní, Zlín;9​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-druzstevni/3911410252;9500.0;1+kk;33.0;Družstevní, Zlín
Pronájem bytu 1+kk 30 m²Ševcovská, Zlín;1​2​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-sevcovska/1882956620;12900.0;1+kk;30.0;Ševcovská, Zlín
Pronájem bytu 1+kk 32 m²L. Váchy, Zlín - Prštné;1​0​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-prstne-l-vachy/4180255564;10900.0;1+kk;32.0;L. Váchy, Zlín - Prštné
Pronájem bytu 1+kk 27 m²Nad Stráněmi, Zlín;8​ ​4​6​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-nad-stranemi/2658030156;8460.0;1+kk;27.0;Nad Stráněmi, Zlín
Pronájem bytu 2+1 45 m²Na Honech II, Zlín;1​4​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-na-honech-ii/2427994700;14000.0;2+1;45.0;Na Honech II, Zlín
Pronájem bytu 2+kk 41 m²J. A. Bati, Zlín;1​3​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-j-a-bati/1936499532;13500.0;2+kk;41.0;J. A. Bati, Zlín
Pronájem bytu 4+kk 113 m²Havlíčkovo nábřeží, Zlín;3​0​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/4+kk/zlin-zlin-havlickovo-nabrezi/2023596876;30000.0;4+kk;113.0;Havlíčkovo nábřeží, Zlín
Pronájem bytu 1+1 33 m²Nábřeží, Napajedla;8​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/napajedla-napajedla-nabrezi/1684976460;8000.0;1+1;33.0;Nábřeží, Napajedla
Pronájem bytu 2+1 57 m²Václavská, Zlín - Kudlov;1​2​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-kudlov-vaclavska/1154065228;12000.0;2+1;57.0;Václavská, Zlín - Kudlov
Pronájem bytu 2+1 65 m²Benešovo nábřeží, Zlín;1​1​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-benesovo-nabrezi/700162892;11000.0;2+1;65.0;Benešovo nábřeží, Zlín
Pronájem bytu 2+kk 38 m²Pod Křiby, Zlín;1​5​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-pod-kriby/3234702156;15000.0;2+kk;38.0;Pod Křiby, Zlín
Pronájem bytu 2+1 57 m²Mokrá I, Zlín - Mladcová;1​0​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-mladcova-mokra-i/367895372;10000.0;2+1;57.0;Mokrá I, Zlín - Mladcová
Pronájem bytu 2+kk 56 m²Moravní, Otrokovice;2​0​ ​9​9​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/otrokovice-otrokovice-moravni/2939503180;20990.0;2+kk;56.0;Moravní, Otrokovice
Pronájem bytu 1+kk 32 m²Moravní, Otrokovice;1​4​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/otrokovice-otrokovice-moravni/4281680460;14000.0;1+kk;32.0;Moravní, Otrokovice
Pronájem bytu 2+1 72 m²náměstí Míru, Fryšták;1​2​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/frystak-frystak-namesti-miru/1362993996;12000.0;2+1;72.0;náměstí Míru, Fryšták
Pronájem bytu 1+1 18 m²Zadní luhy, Zlín - Louky;1​0​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-louky-zadni-luhy/3514671948;10000.0;1+1;18.0;Zadní luhy, Zlín - Louky
Pronájem bytu 1+kk 22 m²Štefánikova, Zlín;1​1​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-stefanikova/795714380;11900.0;1+kk;22.0;Štefánikova, Zlín
Pronájem bytu 2+1 80 m²Bartošova, Zlín;1​5​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-bartosova/3059696204;15500.0;2+1;80.0;Bartošova, Zlín
Pronájem bytu 2+1 53 m²Sokolská, Zlín;1​5​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-sokolska/3348013900;15000.0;2+1;53.0;Sokolská, Zlín
Pronájem bytu 1+kk 40 m²Spojovací, Otrokovice - Kvítkovice;1​2​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/otrokovice-kvitkovice-spojovaci/3115230028;12500.0;1+kk;40.0;Spojovací, Otrokovice - Kvítkovice
Pronájem bytu 3+1 66 m²Na Honech III, Zlín;1​6​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-na-honech-iii/2923340620;16500.0;3+1;66.0;Na Honech III, Zlín
Pronájem bytu 1+kk 37 m²Zelinova, Zlín;1​2​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-zelinova/544121676;12500.0;1+kk;37.0;Zelinova, Zlín
Pronájem bytu 1+1 36 m²Díly III, Zlín;1​2​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-dily-iii/1013514076;12000.0;1+1;36.0;Díly III, Zlín
Pronájem bytu pokoje 20 m²Březnice;7​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/pokoj/breznice-breznice-/4267840588;7500.0;;20.0;Březnice
Pronájem bytu 2+kk 36 m²Pasecká, Zlín;1​2​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-pasecka/953279820;12500.0;2+kk;36.0;Pasecká, Zlín
Pronájem bytu pokoje 35 m²Tyršovo nábřeží, Zlín;5​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/pokoj/zlin-zlin-tyrsovo-nabrezi/1278517836;5500.0;;35.0;Tyršovo nábřeží, Zlín
Pronájem bytu 1+1 44 m²Zlín - Mladcová;1​1​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-mladcova-/1192928076;11000.0;1+1;44.0;Zlín - Mladcová
Pronájem bytu 2+1 65 m²Zlín - Lhotka;1​2​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-lhotka-/931312460;12500.0;2+1;65.0;Zlín - Lhotka
Pronájem bytu 2+1 70 m²Růžová, Zlín;1​8​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-ruzova/1069523788;18000.0;2+1;70.0;Růžová, Zlín
Pronájem bytu 1+1 31 m²Dlouhá, Zlín;8​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-dlouha/2900337484;8900.0;1+1;31.0;Dlouhá, Zlín
Pronájem bytu 1+1 36 m²Podlesí IV, Zlín;8​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-podlesi-iv/2749342540;8900.0;1+1;36.0;Podlesí IV, Zlín
Pronájem bytu 3+kk 63 m²Kotěrova, Zlín;1​3​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-koterova/536847180;13000.0;3+kk;63.0;Kotěrova, Zlín
Pronájem bytu 2+kk 55 m²Sokolovská, Zlín - Malenovice;1​5​ ​9​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-malenovice-sokolovska/4068451148;15900.0;2+kk;55.0;Sokolovská, Zlín - Malenovice
Pronájem bytu 1+kk 25 m²Svat. Čecha, Zlín - Prštné;8​ ​4​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-prstne-svat-cecha/1133032268;8400.0;1+kk;25.0;Svat. Čecha, Zlín - Prštné
Pronájem bytu 4+1 75 m²Středová, Zlín;18 000 Kč;https://www.sreality.cz/detail/pronajem/byt/4+1/zlin-zlin-stredova/1550058060;18000.0;4+1;75.0;Středová, Zlín
Pronájem bytu 2+1 48 m²Husova, Zlín - Malenovice;1​0​ ​2​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-malenovice-husova/946164300;10200.0;2+1;48.0;Husova, Zlín - Malenovice
Pronájem bytu 2+kk 58 m²Podlesí V, Zlín;1​2​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-podlesi-v/3971523404;12500.0;2+kk;58.0;Podlesí V, Zlín
Pronájem bytu 2+1 65 m²tř. Osvobození, Otrokovice;1​1​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-otrokovice-tr-osvobozeni/4002570828;11000.0;2+1;65.0;tř. Osvobození, Otrokovice
Pronájem bytu 2+1 56 m²čtvrť A. Háby, Vizovice;1​1​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/vizovice-vizovice-ctvrt-a-haby/2712908620;11500.0;2+1;56.0;čtvrť A. Háby, Vizovice
Pronájem bytu 3+1 65 m²Hlavní, Otrokovice - Kvítkovice;1​2​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/otrokovice-kvitkovice-hlavni/3048452940;12500.0;3+1;65.0;Hlavní, Otrokovice - Kvítkovice
Pronájem bytu 2+1 56 m²Nádražní, Otrokovice;1​2​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-otrokovice-nadrazni/2277090124;12000.0;2+1;56.0;Nádražní, Otrokovice
Pronájem bytu 1+kk 28 m²Boněcký rybník, Zlín - Příluky;1​5​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-priluky-bonecky-rybnik/3745096524;15000.0;1+kk;28.0;Boněcký rybník, Zlín - Příluky
Pronájem bytu 1+kk 30 m²J. Jabůrkové, Otrokovice;1​0​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/otrokovice-otrokovice-j-jaburkove/506045260;10000.0;1+kk;30.0;J. Jabůrkové, Otrokovice
Pronájem bytu 3+1 73 m²Svobodova, Otrokovice;1​9​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/otrokovice-otrokovice-svobodova/3727270732;19500.0;3+1;73.0;Svobodova, Otrokovice
Pronájem bytu 2+1 54 m²Bratří Jaroňků, Zlín;1​2​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-bratri-jaronku/2104075084;12500.0;2+1;54.0;Bratří Jaroňků, Zlín
Pronájem bytu 1+kk 30 m²Kúty, Zlín;1​2​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-kuty/53625420;12000.0;1+kk;30.0;Kúty, Zlín
Pronájem bytu 1+1 36 m²Potoky, Zlín;1​2​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-potoky/3362869836;12500.0;1+1;36.0;Potoky, Zlín
Pronájem bytu 2+1 49 m²Lidická, Otrokovice - Kvítkovice;1​1​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-kvitkovice-lidicka/2633671500;11000.0;2+1;49.0;Lidická, Otrokovice - Kvítkovice
Pronájem bytu 3+kk 63 m²Komenského, Fryšták - Horní Ves;1​5​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+kk/frystak-horni-ves-komenskeho/4162495308;15000.0;3+kk;63.0;Komenského, Fryšták - Horní Ves
Pronájem bytu 3+kk 80 m²Obeciny, Zlín;1​5​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-obeciny/3256525644;15000.0;3+kk;80.0;Obeciny, Zlín
Pronájem bytu 3+1 63 m²Husova, Zlín - Malenovice;1​7​ ​4​9​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-malenovice-husova/1862968140;17490.0;3+1;63.0;Husova, Zlín - Malenovice
Pronájem bytu 2+kk 70 m²Nebeská, Zlín - Příluky;1​9​ ​8​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-priluky-nebeska/2857018188;19800.0;2+kk;70.0;Nebeská, Zlín - Příluky
Pronájem bytu 1+kk 38 m²Březnická, Zlín;1​0​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-breznicka/2228634188;10000.0;1+kk;38.0;Březnická, Zlín
Pronájem bytu 3+kk 61 m²Sazovice;1​7​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+kk/sazovice-sazovice-/808739404;17000.0;3+kk;61.0;Sazovice
Pronájem bytu 2+kk 56 m²Podlesí V, Zlín;1​7​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-podlesi-v/2449187660;17000.0;2+kk;56.0;Podlesí V, Zlín
Pronájem bytu 1+1 29 m²Díly IV, Zlín;1​2​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-dily-iv/4028343116;12000.0;1+1;29.0;Díly IV, Zlín
Pronájem bytu 2+1 55 m²Cihlářská, Zlín;1​6​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-cihlarska/3188433740;16500.0;2+1;55.0;Cihlářská, Zlín
Pronájem bytu 3+1 78 m²Benešovo nábřeží, Zlín;1​3​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-benesovo-nabrezi/3850085196;13000.0;3+1;78.0;Benešovo nábřeží, Zlín
Pronájem bytu 3+1 62 m²třída Tomáše Bati, Zlín;15 400 Kč;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-trida-tomase-bati/3781927756;15400.0;3+1;62.0;třída Tomáše Bati, Zlín
Pronájem bytu 1+kk 24 m²Masarykovo náměstí, Valašské Klobouky;1​0​ ​6​7​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/valasske-klobouky-valasske-klobouky-masarykovo-namesti/1645978444;10670.0;1+kk;24.0;Masarykovo náměstí, Valašské Klobouky
Pronájem bytu 1+1 24 m²U Zimního stadionu, Zlín;8​ ​7​6​8​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-u-zimniho-stadionu/3306468172;8768.0;1+1;24.0;U Zimního stadionu, Zlín
Pronájem bytu 3+1 110 m²Příkrá, Zlín;1​7​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-prikra/3492066124;17000.0;3+1;110.0;Příkrá, Zlín
Pronájem bytu 2+kk 40 m²Jiráskova, Zlín - Prštné;1​4​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-prstne-jiraskova/2002039628;14000.0;2+kk;40.0;Jiráskova, Zlín - Prštné
Pronájem bytu 3+1 92 m²U Trojáku, Zlín;1​6​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-u-trojaku/426029900;16000.0;3+1;92.0;U Trojáku, Zlín
Pronájem bytu 2+1 43 m²Štefánikova, Zlín;1​4​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-stefanikova/3309658700;14000.0;2+1;43.0;Štefánikova, Zlín
Pronájem bytu 1+1 33 m²Luční, Otrokovice - Kvítkovice;9​ ​6​5​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+1/otrokovice-kvitkovice-lucni/3824530252;9650.0;1+1;33.0;Luční, Otrokovice - Kvítkovice
Pronájem bytu 2+kk 34 m²Křiby, Zlín;1​0​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-kriby/2350232396;10000.0;2+kk;34.0;Křiby, Zlín
Pronájem bytu 1+kk 29 m²J. Valčíka, Otrokovice - Kvítkovice;1​0​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/otrokovice-kvitkovice-j-valcika/4044731212;10500.0;1+kk;29.0;J. Valčíka, Otrokovice - Kvítkovice
Pronájem bytu 3+kk 65 m²Mostní, Zlín;1​2​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-mostni/2919609164;12000.0;3+kk;65.0;Mostní, Zlín
Pronájem bytu 3+kk 98 m²Na Honech I, Zlín;2​1​ ​7​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-na-honech-i/302363468;21700.0;3+kk;98.0;Na Honech I, Zlín
Pronájem bytu 3+kk 62 m²Komenského, Fryšták - Horní Ves;1​8​ ​0​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/3+kk/frystak-horni-ves-komenskeho/2452992844;18000.0;3+kk;62.0;Komenského, Fryšták - Horní Ves
Pronájem bytu 1+kk 30 m²Masarykovo nám., Vizovice;1​1​ ​5​0​0​ ​K​č​/​m​ě​s​í​c​;https://www.sreality.cz/detail/pronajem/byt/1+kk/vizovice-vizovice-masarykovo-nam/2659627852;11500.0;1+kk;30.0;Masarykovo nám., Vizovice
